Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Unicellular;Phytobenthos;Cymbellaceae;Cymbella;neoleptoceros;36;ben;Cymbella neoleptoceros;phytoplankton;Cymn;1.55630250076729
Unicellular;Phytobenthos;Surirellaceae;Surirella;brebissonii;36;ben;Surirella brebissonii;phytoplankton;Srrb;1.55630250076729
Unicellular;Phytoplankton;Gonyaulacaceae;Gonyaulax;fragilis;36;pel;Gonyaulax fragilis;phytoplankton;Gnyf;1.55630250076729
Unicellular;Ciliates;Mesodiniidae;Mesodinium;sp.;35.5;pel;Mesodinium sp;invertebrate;Msds;1.55022835305509
Unicellular;Phytobenthos;Fragilariaceae;Fragilaria;gracilis;35;ben;Fragilaria gracilis;phytoplankton;Frgg;1.54406804435028
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;tergestinum;33.5;ben;Gomphonema tergestinum;phytoplankton;Gmphnmtrg;1.52504480703685
Unicellular;Phytobenthos;Naviculaceae;Navicula;capitatoradiata;33.5;ben;Navicula capitatoradiata;phytoplankton;Nvclcp;1.52504480703685
Unicellular;Phytobenthos;Bacillariaceae;Denticula;tenuis;33;ben;Denticula tenuis;phytoplankton;Dntt;1.51851393987789
Unicellular;Phytobenthos;Cocconeidaceae;Cocconeis;pediculus;33;ben;Cocconeis pediculus;phytoplankton;Cccnspd;1.51851393987789
Unicellular;Phytoplankton;Mallomonadaceae;Mallomonas;sp1;33;pel;Mallomonas sp1;phytoplankton;Msp1;1.51851393987789
Unicellular;Phytoplankton;Mallomonadaceae;Mallomonas;elongata;33;pel;Mallomonas elongata;phytoplankton;Mlle;1.51851393987789
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;fonticola;32.5;ben;Nitzschia fonticola;phytoplankton;Ntzf;1.51188336097887
Unicellular;Phytobenthos;Gomphonemataceae;Encyonema;vulgare;32.5;ben;Encyonema vulgare;phytoplankton;Encynmvl;1.51188336097887
Unicellular;Phytoplankton;Dinobryaceae;Epipyxis;pulchra;31.5;pel;Epipyxis pulchra;phytoplankton;Eppyxsplc;1.4983105537896
Unicellular;Phytobenthos;Cymbellaceae;Cymbella;excisa;31;ben;Cymbella excisa;phytoplankton;Cyme;1.49136169383427
Unicellular;Phytoplankton;Oocystaceae;Oocystis;lacustris;31;pel;Oocystis lacustris;phytoplankton;Ocyl;1.49136169383427
Unicellular;Phytoplankton;Oocystaceae;Oocystis;parva;31;pel;Oocystis parva;phytoplankton;Ocyp;1.49136169383427
